NAME ,POS,LOCATION,HT,WT,STARS,RATING,COMMITTED,twitter,state,height_in,sentiment,neu,pos,neg,part
Khatavian Franks,LB,"Fairburn, GA ","6'3"" ",203,3,5.6,2019-12-18,khatavian_4,GA,75.0,0.16,0.8502799999999999,0.09476000000000001,0.054959999999999995,defense
Jeffrey Sims,QB,"Jacksonville, FL ","6'3"" ",195,4,5.8,2019-12-18,JeffSims_10,FL,75.0,0.36,0.8222799999999998,0.12556,0.052199999999999996,offense
Jared Ivey,DE,"Suwanee, GA ","6'6"" ",215,3,5.7,2019-12-11,jared_ivey1595,GA,78.0,0.32,0.88184,0.11259999999999999,0.005600000000000001,defense
Paula Vaipulu,OL,"Channelview, TX ","6'4"" ",303,3,5.5,2019-10-31,PTV_70,TX,76.0,0.28,0.82132,0.12463999999999999,0.054079999999999996,offense
Ryan Spiers,OL,"Biloxi, MS ","6'4"" ",275,2,5.4,2019-09-08,ryanspiers71,MS,76.0,0.44,0.8184400000000001,0.16596,0.015600000000000001,offense
Avery Boyd,WR,"Tallahassee, FL ","6'2"" ",198,3,5.6,2019-08-24,ABoyd723,FL,74.0,0.2,0.8864800000000002,0.08988,0.02368,offense
Wing Green,OL,"Leesburg, GA ","6'7"" ",270,3,5.5,2019-06-25,WingGreenJr,GA,79.0,0.36,0.8356,0.13124000000000002,0.033159999999999995,offense
Khaya Wright,DE,"Miami, FL ","6'3"" ",200,3,5.6,2019-06-25,Khayawright18,FL,75.0,0.0,1.0,0.0,0.0,defense
Kyle Kennard,DE,"Atlanta, GA ","6'6"" ",215,4,5.6,2019-06-12,KyleKennard1,GA,78.0,0.36,0.71896,0.17135999999999998,0.10964,defense
Jahmyr Gibbs,RB,"Dalton, GA ","5'11"" ",194,3,5.9,2019-05-25,Jahmyr_Gibbs1,GA,71.0,0.56,0.82112,0.16268000000000002,0.01624,offense
Akelo Stone,DE,"Savannah, GA ","6'3"" ",244,3,5.6,2019-04-26,bigkelo1,GA,75.0,0.44,0.83892,0.15176,0.00932,defense
Cade Kootsouradis,OL,"Crestview, FL ","6'4"" ",285,3,5.5,2019-04-22,kootsouradis,FL,76.0,0.44,0.8482,0.11747999999999999,0.034319999999999996,offense
Jalen Huff,DB,"Buford, GA ","6'1"" ",178,3,5.6,2019-04-03,JalenHuffDB,GA,73.0,0.4,0.8630000000000001,0.11887999999999999,0.01812,defense
Miles Brooks,DB,"Jacksonville, FL ","6'2"" ",183,4,5.9,2019-03-24,realmilesbrooks,FL,74.0,0.32,0.89544,0.10456,0.0,defense
Ryan King,WR,"Grayson, GA ","6'4"" ",205,3,5.7,2019-03-14,ryanking_rk,GA,76.0,0.2,0.90908,0.07576000000000001,0.01516,offense
Billy Ward,TE,"Locust Grove, GA ","6'4"" ",235,3,5.6,2019-03-07,billy_ward16,GA,76.0,0.32,0.8566799999999999,0.11448,0.0288,offense
Albany Casey,DE,"Bay Minette, AL ","6'4"" ",240,3,5.6,2019-12-03,albany_oneil,AL,76.0,0.44,0.6851999999999999,0.25732,0.057479999999999996,defense
Mike Lockhart,DE,"Birmingham, AL ","6'5"" ",250,3,5.7,2019-02-06,the205mike,AL,77.0,0.48,0.8576,0.13455999999999999,0.00784,defense
Jamious Griffin,RB,"Rome, GA ","5'10"" ",205,4,5.8,2019-02-06,JamiousGriffin,GA,70.0,0.64,0.68704,0.25784,0.05516,offense
Sylvain Yondjouen,DE,"Belgium, null ","6'4"" ",232,3,5.5,2018-12-19,sylvainHYK,INT,76.0,0.16,0.8730000000000001,0.08524,0.04172,defense
Dylan Deveney,TE,"Princeton, NJ ","6'6"" ",240,2,5.4,2018-12-17,DeveneyDylan,NJ,78.0,0.52,0.7843600000000001,0.19788,0.01776,offense
