name,twitter
jeff-sims,https://twitter.com/JeffSims_10
miles-brooks,https://twitter.com/realmilesbrooks
jahmyr-gibbs,https://twitter.com/Jahmyr_Gibbs1
jalen-huff,https://twitter.com/JalenHuffDB
kyle-kennard,https://twitter.com/KyleKennard1
khatavian-franks,https://twitter.com/khatavian_4
jared-ivey,https://twitter.com/jared_ivey1595
khaya-wright,https://twitter.com/Khayawright18
steven-verdisco,https://twitter.com/StevenVerdisco
paula-vaipulu,https://twitter.com/PTV_70
cade-kootsouradis,https://twitter.com/kootsouradis
will-milam,https://twitter.com/WillMilam_FB
ryan-spiers,https://twitter.com/ryanspiers71
wing-green,https://twitter.com/WingGreenJr
ryan-king,https://twitter.com/ryanking_rk
billy-ward,https://twitter.com/billy_ward16
jude-kelley,https://twitter.com/JudeKelley83
avery-boyd,https://twitter.com/ABoyd723
albany-casey,https://twitter.com/albany_oneil
akelo-stone,https://twitter.com/bigkelo1
jordan-yates,https://twitter.com/jor_yates
jordan-huff,https://twitter.com/jordanhuff03
kenan-johnson,https://twitter.com/_kenan_7
wesley-walker,https://twitter.com/weswalkerr_
tony-amerson,https://twitter.com/tonyamerson_
taylor-mccawley,https://twitter.com/taylor_mccawley
jamal-camp,https://twitter.com/JamalCamp_60
scotty-fulgham,https://twitter.com/scottyfulgham
ben-wilhelm,https://twitter.com/BenWilhelm99
mike-lockhart,https://twitter.com/the205mike
dquan-douse,https://twitter.com/quan_61
