file_year,category,rank,name,year,high_school,city_state,position,ints,intspergame,intyards,gamesplayed
2019,"defense,interceptions",451,Jaden Bacon,Sophomore,"Woodbridge (Bridgeville, DE)","(Bridgeville, DE)","RB, FS",6,0.5,,12
2019,"defense,interceptions",452,Joshua Nylund,Senior,Selinsgrove (PA),(PA),"SB, CB",6,0.5,133,12
2019,"defense,interceptions",453,Chance Wilson,Freshman,"Rejoice Christian (Owasso, OK)","(Owasso, OK)","FS, QB",6,0.5,204,12
2019,"defense,interceptions",455,Caleb Hobson,Senior,Pontotoc (MS),(MS),"WR, QB",6,0.5,,12
2019,"defense,interceptions",456,Treyson Davis,Sophomore,Gordonsville (TN),(TN),"RB, SS",6,0.5,12,12
2019,"defense,interceptions",457,Antonio Cuffari,Junior,Cedar Grove (NJ),(NJ),"WR, CB",6,0.5,129,12
2019,"defense,interceptions",458,Jaden Mickey,Sophomore,"Centennial (Corona, CA)","(Corona, CA)",CB,6,0.5,,12
2019,"defense,interceptions",459,Jonathan Streeter,Junior,"Panther Creek (Cary, NC)","(Cary, NC)","WR, CB",6,0.5,,12
2019,"defense,interceptions",460,Justin Hodges,Senior,"Western (Davie, FL)","(Davie, FL)",CB,6,0.5,103,12
2019,"defense,interceptions",461,Carter Compton,Junior,"Green Canyon (North Logan, UT)","(North Logan, UT)",DB,6,0.5,0,12
2019,"defense,interceptions",462,Zachary Reid,Senior,Pueblo West (CO),(CO),,6,0.5,20,12
2019,"defense,interceptions",463,Jarius Stewart,Junior,"Calhoun (Port Lavaca, TX)","(Port Lavaca, TX)","RB, CB",6,0.5,62,12
2019,"defense,interceptions",464,De'andre Bradley,Senior,"Daniel (Central, SC)","(Central, SC)",DB,6,0.5,0,12
2019,"defense,interceptions",465,Baron Holman,Sophomore,"Centauri (La Jara, CO)","(La Jara, CO)","WR, CB",6,0.5,120,12
2019,"defense,interceptions",466,Caedmon Parker,Junior,"The Woodlands Christian Academy (The Woodlands, TX)","(The Woodlands, TX)","WR, CB",6,0.5,,12
2019,"defense,interceptions",467,Ryan Rucker,Junior,"Prestonwood Christian (Plano, TX)","(Plano, TX)","FS, WR",6,0.5,45,12
2019,"defense,interceptions",468,Omar Simpson,Junior,"Western (Davie, FL)","(Davie, FL)",ATH,6,0.5,190,12
2019,"defense,interceptions",470,Malachi Gary,Sophomore,"Thomas Jefferson Classical Academy (Mooresboro, NC)","(Mooresboro, NC)","QB, FS",6,0.5,20,13
2019,"defense,interceptions",471,Christopher Torres,Senior,"Gila Ridge (Yuma, AZ)","(Yuma, AZ)","SS, DB",6,0.5,56,13
2019,"defense,interceptions",472,Traynell Paxton,Senior,"Sto-Rox (McKees Rocks, PA)","(McKees Rocks, PA)","CB, WR",6,0.5,115,13
2019,"defense,interceptions",473,Brennan Schwarz,Senior,Montague (MI),(MI),"SS, TE",6,0.5,23,13
2019,"defense,interceptions",474,Keegan Myrick,Junior,"Bishop Guilfoyle (Altoona, PA)","(Altoona, PA)","RB, DB",6,0.5,48,13
2019,"defense,interceptions",475,Kaden Kelley,Junior,Grantsville (UT),(UT),"FS, TE",6,0.5,,13
2019,"defense,interceptions",476,Zachary Van bennekum,Senior,"West Ranch (Valencia, CA)","(Valencia, CA)","OLB, TE",6,0.5,43,13
2019,"defense,interceptions",477,Gavin Mcauliff,Senior,"East Nicolaus (Nicolaus, CA)","(Nicolaus, CA)","QB, LB",6,0.5,141,13
2019,"defense,interceptions",478,Dakota Cole,Junior,Oil City (PA),(PA),CB,6,0.5,9,13
2019,"defense,interceptions",479,Damion Daniel,Senior,"Harmony Grove (Camden, AR)","(Camden, AR)","WR, CB",6,0.5,,13
2019,"defense,interceptions",480,Daniel Coco,Senior,"St. Thomas Catholic (Houston, TX)","(Houston, TX)","FS, WR",6,0.5,144,13
2019,"defense,interceptions",481,Andrew Leonard,Senior,"Nemaha Central (Seneca, KS)","(Seneca, KS)","WR, CB",6,0.5,,13
2019,"defense,interceptions",482,Brandon Wyre,Senior,"West Ranch (Valencia, CA)","(Valencia, CA)","WR, CB",6,0.5,77,13
2019,"defense,interceptions",483,Christian Newsome ii,Senior,"Summit Christian Academy (Lee's Summit, MO)","(Lee's Summit, MO)","WR, CB",6,0.5,124,13
2019,"defense,interceptions",484,Noah Biglow,Junior,"Armwood (Seffner, FL)","(Seffner, FL)","FS, CB",6,0.5,120,13
2019,"defense,interceptions",485,Jace Coe,Sophomore,Heppner (OR),(OR),"RB, DB",6,0.5,77,13
2019,"defense,interceptions",486,Melvin Howard,Senior,Sinton (TX),(TX),"WR, CB",6,0.5,128,13
