file_year,category,rank,name,year,high_school,city_state,position,passingyards,passingyardspergame,passingcomp,passingatt,completionpercentage,passingtd,passingint,qbrating,gamesplayed
2019,"offense,passing",151,Eli Carr,Senior,"A.C. Reynolds (Asheville, NC)","(Asheville, NC)","QB, MLB",3155,225.4,190,278,.683,39,8,133.9,14
2019,"offense,passing",152,Jace Presley,Senior,Greenwood (AR),(AR),QB,3151,262.6,283,402,.704,37,8,115.8,12
2019,"offense,passing",153,Jaron Garrett,Junior,"Cedar (Cedar City, UT)","(Cedar City, UT)",QB,3151,286.5,191,288,.663,31,11,122.9,11
2019,"offense,passing",154,Clay Millen,Junior,"Mount Si (Snoqualmie, WA)","(Snoqualmie, WA)",QB,3145,241.9,256,360,.711,34,1,128.1,13
2019,"offense,passing",155,Sawyer Pate,Senior,"Thompson (Alabaster, AL)","(Alabaster, AL)",QB,3139,241.5,229,306,.748,41,3,142.7,13
2019,"offense,passing",156,Mitch Stratford,Senior,"Fremont (Plain City, UT)","(Plain City, UT)",QB,3135,285.0,185,346,.535,24,11,94.3,11
2019,"offense,passing",157,Clark Barrett,Sophomore,"Lafayette Central Catholic (Lafayette, IN)","(Lafayette, IN)",QB,3134,208.9,229,403,.568,35,10,100.5,15
2019,"offense,passing",158,Cinco Lucero,Senior,"Alta (Sandy, UT)","(Sandy, UT)",QB,3132,313.2,252,428,.589,24,16,84.8,10
2019,"offense,passing",159,Dylan Wheatley,Junior,"Citrus Valley (Redlands, CA)","(Redlands, CA)",QB,3132,261.0,173,317,.546,47,9,116.5,12
2019,"offense,passing",160,Bryce Gouker,Senior,"Downey (Modesto, CA)","(Modesto, CA)",QB,3127,284.3,186,255,.729,37,4,147.0,11
2019,"offense,passing",161,Austin Ledbetter,Junior,Bryant (AR),(AR),QB,3126,260.5,184,297,.620,40,8,125.9,12
2019,"offense,passing",162,Dustin Allison,Senior,Pass Christian (MS),(MS),QB,3123,260.3,167,285,.586,35,8,124.5,12
2019,"offense,passing",163,Nick Bohn,Senior,Bennington (NE),(NE),"QB, FS",3121,283.7,260,429,.606,38,13,99.8,11
2019,"offense,passing",164,Dane Christensen,Junior,"Casteel (Queen Creek, AZ)","(Queen Creek, AZ)",QB,3118,239.8,246,339,.726,30,6,123.0,13
2019,"offense,passing",165,Miller Moss,Junior,"Alemany (Mission Hills, CA)","(Mission Hills, CA)","QB, P",3118,259.8,215,319,.674,28,10,115.2,12
2019,"offense,passing",166,Kyle Pinnix,Junior,Reidsville (NC),(NC),QB,3115,207.7,156,244,.639,45,5,138.5,15
2019,"offense,passing",167,Donovan Smith,Senior,"Frenship (Wolfforth, TX)","(Wolfforth, TX)",QB,3114,283.1,212,328,.646,26,8,111.8,11
2019,"offense,passing",168,Justin Lamson,Junior,"Oak Ridge (El Dorado Hills, CA)","(El Dorado Hills, CA)","QB, DB",3114,239.5,207,312,.663,24,8,113.9,13
2019,"offense,passing",169,Camden Chesney,Junior,Springtown (TX),(TX),QB,3112,207.5,180,338,.533,37,12,106.5,15
2019,"offense,passing",170,Bailey Parker,Senior,"East Noble (Kendallville, IN)","(Kendallville, IN)","FS, QB",3110,207.3,235,378,.622,39,12,109.3,15
2019,"offense,passing",171,Austin Bryant,Senior,"Eastern Alamance (Mebane, NC)","(Mebane, NC)",QB,3107,207.1,154,272,.566,47,6,127.3,15
2019,"offense,passing",172,Adrian Parsons,Junior,"Bel Air (El Paso, TX)","(El Paso, TX)","QB, FS",3105,310.5,232,366,.634,37,10,112.6,10
2019,"offense,passing",173,Matt Meredith,Senior,"Miramonte (Orinda, CA)","(Orinda, CA)","QB, WR",3105,282.3,218,317,.688,34,5,129.4,11
2019,"offense,passing",174,Deacon Hill,Junior,Santa Barbara (CA),(CA),QB,3102,221.6,200,341,.587,33,7,112.6,14
2019,"offense,passing",175,Jacob Reithmeier,Senior,Folsom (CA),(CA),QB,3099,258.3,182,299,.609,39,7,125.8,12
2019,"offense,passing",176,Zach Tanner,Sophomore,"Discovery (Lake Alfred, FL)","(Lake Alfred, FL)","QB, LB",3099,281.7,168,277,.606,31,15,114.0,11
2019,"offense,passing",177,Undre Lindsay,Junior,Gaffney (SC),(SC),QB,3096,221.1,239,411,.582,25,5,97.1,14
2019,"offense,passing",178,Luke Altmyer,Junior,Starkville (MS),(MS),QB,3093,206.2,251,374,.671,37,5,119.9,15
2019,"offense,passing",179,Skylar Adams,Senior,"Central Gwinnett (Lawrenceville, GA)","(Lawrenceville, GA)","WR, QB",3092,309.2,194,341,.569,28,10,102.4,10
2019,"offense,passing",180,Maddox Kopp,Junior,"St. Thomas Catholic (Houston, TX)","(Houston, TX)",QB,3089,237.6,226,405,.558,28,14,89.0,13
2019,"offense,passing",181,Greyson Thompson,Senior,"Braswell (Little Elm, TX)","(Little Elm, TX)",QB,3089,280.8,195,312,.625,35,6,124.8,11
2019,"offense,passing",182,Billy Atkins,Junior,"Mount St. Joseph (Baltimore, MD)","(Baltimore, MD)",QB,3089,257.4,191,310,.616,36,9,121.6,12
2019,"offense,passing",183,Brandon Rose,Sophomore,"Murrieta Valley (Murrieta, CA)","(Murrieta, CA)",QB,3087,280.6,201,294,.684,30,4,131.2,11
2019,"offense,passing",184,Max Favre,Senior,"St. Stanislaus (Bay St. Louis, MS)","(Bay St. Louis, MS)",QB,3086,280.5,232,357,.650,39,14,112.3,11
2019,"offense,passing",185,Cade Horton,Senior,Norman (OK),(OK),QB,3084,280.4,176,271,.649,26,7,124.8,11
2019,"offense,passing",186,Shane Illingworth,Senior,Norco (CA),(CA),QB,3081,280.1,150,230,.652,40,2,144.5,11
2019,"offense,passing",187,Marshall Skoloff,Junior,"Eastside (Taylors, SC)","(Taylors, SC)",QB,3076,279.6,185,301,.615,33,9,120.0,11
2019,"offense,passing",188,Blake Short,Senior,Flower Mound (TX),(TX),QB,3073,279.4,222,372,.597,32,7,107.1,11
2019,"offense,passing",189,Ken Seals,Senior,Weatherford (TX),(TX),QB,3060,278.2,185,291,.636,33,7,126.7,11
2019,"offense,passing",190,Kyle Kyckelhahn,Senior,"Aliso Niguel (Aliso Viejo, CA)","(Aliso Viejo, CA)","QB, DB",3058,254.8,203,344,.590,27,6,107.2,12
2019,"offense,passing",191,Anthony Sotelo,Junior,"Vela (Edinburg, TX)","(Edinburg, TX)",QB,3057,235.2,196,313,.626,36,11,118.7,13
2019,"offense,passing",192,Donovan Leary,Sophomore,"Timber Creek Regional (Erial, NJ)","(Erial, NJ)",QB,3054,277.6,200,316,.633,28,10,111.4,11
2019,"offense,passing",193,Cooper Riggs,Junior,"Grace Christian Academy (Knoxville, TN)","(Knoxville, TN)","QB, WR",3053,254.4,234,400,.585,27,11,93.7,12
2019,"offense,passing",194,Tanner Jellison,Junior,Lake Stevens (WA),(WA),QB,3053,254.4,178,239,.745,38,8,141.9,12
2019,"offense,passing",195,Ryder Hernandez,Junior,Cedar Park (TX),(TX),"QB, FS",3049,234.5,251,392,.640,34,6,110.4,13
2019,"offense,passing",196,Joe Barron,Senior,Plymouth (IN),(IN),"QB, FS",3047,253.9,213,388,.549,31,9,97.5,12
2019,"offense,passing",197,Mason Bugg,Senior,"Williams Field (Gilbert, AZ)","(Gilbert, AZ)",QB,3047,217.6,151,245,.616,33,4,138.0,14
2019,"offense,passing",198,Brendan Sullivan,Junior,Davison (MI),(MI),"QB, WR",3045,217.5,165,247,.668,33,12,128.5,14
2019,"offense,passing",199,Duce Anderson,Senior,"Mountain View (Orem, UT)","(Orem, UT)","QB, WR",3043,253.6,231,373,.619,31,10,104.2,12
