file_year,category,rank,name,year,high_school,city_state,position,receivingyards,receivingyardspergame,yardspercatch,receivingnum,receivinglong,receivingtdnum,gamesplayed
2019,"offense,receiving",1,Marvin Mims,Senior,"Lone Star (Frisco, TX)","(Frisco, TX)",WR,2626,187.6,23.0,114,,31,14
2019,"offense,receiving",2,Jaxon Smith,Senior,Rockwall (TX),(TX),WR,2132,152.3,19.6,109,75,34,14
2019,"offense,receiving",3,Jahiem Allen-Pompey,Senior,"Mount Miguel (Spring Valley, CA)","(Spring Valley, CA)","WR, CB",2074,188.5,18.9,110,78,23,11
2019,"offense,receiving",4,Truitt Tollett,Senior,"Shiloh Christian (Springdale, AR)","(Springdale, AR)","WR, FS",2046,136.4,15.3,134,90,30,15
2019,"offense,receiving",5,John Humphreys,Senior,"Corona del Mar (Newport Beach, CA)","(Newport Beach, CA)","WR, SS",2001,133.4,18.0,111,80,32,15
2019,"offense,receiving",6,Hank Beatty,Sophomore,Rochester (IL),(IL),"QB, WR",1949,139.2,19.7,99,74,25,14
2019,"offense,receiving",7,Arik Gilbert,Senior,Marietta (GA),(GA),"TE, DE",1860,116.3,17.7,105,92,15,16
2019,"offense,receiving",8,Clarence Freeman iv,Senior,"Bishop's (La Jolla, CA)","(La Jolla, CA)","WR, CB",1792,137.8,18.1,99,77,19,13
2019,"offense,receiving",9,Mykal Blanco,Senior,"Hanks (El Paso, TX)","(El Paso, TX)","WR, DB",1783,162.1,21.2,84,97,23,11
2019,"offense,receiving",10,Devin Downing,Senior,American Fork (UT),(UT),WR,1755,125.4,17.6,100,83,23,14
2019,"offense,receiving",11,Kody Epps,Senior,"Mater Dei (Santa Ana, CA)","(Santa Ana, CA)",WR,1735,133.5,18.7,93,80,28,13
2019,"offense,receiving",12,Sean Zerkle,Junior,"St. John Paul II (Huntsville, AL)","(Huntsville, AL)","WR, FS",1720,143.3,21.5,80,80,25,12
2019,"offense,receiving",13,Jihad Marks,Senior,"Desert Edge (Goodyear, AZ)","(Goodyear, AZ)",WR,1716,122.6,17.3,99,89,19,14
2019,"offense,receiving",14,Holden Willis,Senior,Greenback (TN),(TN),"WR, FS",1704,113.6,23.3,73,75,28,15
2019,"offense,receiving",15,Cole Kirkpatrick,Junior,Argyle (TX),(TX),"WR, FS",1688,120.6,25.2,67,88,28,14
2019,"offense,receiving",16,Eli Wilson,Senior,"Wren (Piedmont, SC)","(Piedmont, SC)",WR,1677,111.8,18.4,91,71,20,15
2019,"offense,receiving",17,Daniel Calabrese,Junior,"Covenant Christian (Colleyville, TX)","(Colleyville, TX)","WR, DB",1669,139.1,23.8,70,85,17,12
2019,"offense,receiving",18,Jack Bech,Junior,"St. Thomas More (Lafayette, LA)","(Lafayette, LA)","WR, CB",1668,128.3,18.3,91,64,20,13
2019,"offense,receiving",19,Jalen McMillan,Senior,"San Joaquin Memorial (Fresno, CA)","(Fresno, CA)","WR, ATH",1644,117.4,18.5,89,,12,14
2019,"offense,receiving",20,Zach Westmoreland,Senior,Joplin (MO),(MO),"WR, FS",1633,116.6,15.6,105,95,21,14
2019,"offense,receiving",21,Jonathon Whiteside,Junior,"True Divine Word Academy (St. Louis, MO)","(St. Louis, MO)","WR, DB",1628,116.3,22.6,72,78,21,14
2019,"offense,receiving",22,Gabe Escobedo,Sophomore,Miami (AZ),(AZ),"WR, QB",1627,162.7,23.9,68,82,17,10
2019,"offense,receiving",23,"Omarion Dollison ""od""",Senior,"Gray Collegiate Academy (West Columbia, SC)","(West Columbia, SC)","WR, CB",1621,124.7,18.8,86,80,21,13
2019,"offense,receiving",24,Chris Long,Senior,Willingboro (NJ),(NJ),"WR, FS",1614,124.2,24.1,67,80,20,13
2019,"offense,receiving",25,Jojo Earle,Junior,Aledo (TX),(TX),"SB, RB",1601,100.1,19.1,84,79,15,16
2019,"offense,receiving",26,Jaylin Lane,Senior,Clover (SC),(SC),WR,1592,122.5,20.9,76,80,28,13
2019,"offense,receiving",27,Nicholas Albert,Senior,"La Jolla Country Day (La Jolla, CA)","(La Jolla, CA)","RB, LB",1588,122.2,16.5,96,95,22,13
2019,"offense,receiving",28,Hagan Edge,Senior,"Owensboro Catholic (Owensboro, KY)","(Owensboro, KY)","WR, SS",1571,130.9,18.9,83,,25,12
2019,"offense,receiving",29,Lane Thrap,Senior,"St. Bernard's (Eureka, CA)","(Eureka, CA)","WR, FS",1550,103.3,20.7,75,89,23,15
2019,"offense,receiving",30,Dominic Lovett,Junior,East St. Louis (IL),(IL),WR,1548,110.6,20.9,74,53,17,14
2019,"offense,receiving",31,Stephen Gosnell,Senior,"East Surry (Pilot Mountain, NC)","(Pilot Mountain, NC)","WR, QB",1544,102.9,22.7,68,88,22,15
2019,"offense,receiving",32,Daniel Rosenberg,Junior,"La Jolla Country Day (La Jolla, CA)","(La Jolla, CA)","WR, DB",1542,118.6,14.7,105,70,17,13
2019,"offense,receiving",33,Tarheeb Still,Senior,"Timber Creek Regional (Erial, NJ)","(Erial, NJ)","WR, CB",1541,140.1,21.7,71,,13,11
2019,"offense,receiving",34,Jerand Bradley,Junior,"John Paul II (Plano, TX)","(Plano, TX)","WR, CB",1537,118.2,16.0,96,,21,13
2019,"offense,receiving",35,Juwan Lyons,Senior,"Winston-Salem Preparatory Academy (Winston-Salem, NC)","(Winston-Salem, NC)","ATH, WR",1535,118.1,19.7,78,60,15,13
2019,"offense,receiving",36,Daedae Reynolds,Junior,"Central Gwinnett (Lawrenceville, GA)","(Lawrenceville, GA)","WR, DB",1534,139.5,17.4,88,80,14,11
2019,"offense,receiving",37,Bret Beebe,Junior,Milford (UT),(UT),"RB, FS",1523,117.2,16.9,90,76,20,13
2019,"offense,receiving",38,Ricky White,Senior,Marietta (GA),(GA),WR,1519,94.9,14.7,103,69,19,16
2019,"offense,receiving",39,Reese Smith,Senior,"Boyle County (Danville, KY)","(Danville, KY)","WR, DB",1518,108.4,24.1,63,96,20,14
2019,"offense,receiving",40,Brennan Presley,Senior,Bixby (OK),(OK),"WR, CB",1515,126.3,15.5,98,,24,12
2019,"offense,receiving",41,Tyler Hironaka,Senior,Gilbert (AZ),(AZ),"CB, WR",1514,137.6,15.9,95,80,14,11
2019,"offense,receiving",42,Avante Stevens,Senior,Eunice (NM),(NM),"WR, DB",1510,125.8,22.2,68,94,24,12
2019,"offense,receiving",43,Parker Self,Senior,"South Paulding (Douglasville, GA)","(Douglasville, GA)",WR,1508,125.7,16.2,93,61,19,12
2019,"offense,receiving",44,Ty Dugger,Junior,"Harding Academy (Searcy, AR)","(Searcy, AR)",WR,1506,100.4,16.2,93,83,22,15
2019,"offense,receiving",45,Tresean Stewart,Junior,"Winston-Salem Preparatory Academy (Winston-Salem, NC)","(Winston-Salem, NC)","RB, SS",1493,114.8,20.5,73,75,21,13
2019,"offense,receiving",46,Caleb Peterson,Senior,"Aliso Niguel (Aliso Viejo, CA)","(Aliso Viejo, CA)","WR, LB",1493,124.4,16.8,89,78,13,12
2019,"offense,receiving",47,Noah Foster,Junior,"Tupelo Christian Prep (Belden, MS)","(Belden, MS)","WR, DB",1491,124.3,27.1,55,91,19,12
2019,"offense,receiving",48,Chris Miller,Senior,Culver City (CA),(CA),"WR, DB",1490,114.6,18.6,80,64,23,13
2019,"offense,receiving",49,Kyle Eaves,Senior,"Lake Travis (Austin, TX)","(Austin, TX)",CB,1490,99.3,16.2,92,80,15,15
2019,"offense,receiving",50,Evan Delp,Junior,"Coosa Christian (Gadsden, AL)","(Gadsden, AL)","WR, CB",1489,148.9,36.3,41,,18,10
2019,"offense,receiving",401,Jaheim Marshall,Senior,"New Hanover (Wilmington, NC)","(Wilmington, NC)",WR,1064,76.0,18.0,59,68,14,14
2019,"offense,receiving",402,Nick Badgett,Senior,"North Surry (Mount Airy, NC)","(Mount Airy, NC)","WR, DB",1064,96.7,17.7,60,80,9,11
2019,"offense,receiving",403,Malachi Wideman,Senior,Venice (FL),(FL),WR,1064,81.8,16.4,65,84,13,13
2019,"offense,receiving",404,Terence Loville,Senior,"Serra (San Mateo, CA)","(San Mateo, CA)",WR,1061,75.8,22.1,48,94,10,14
2019,"offense,receiving",405,Jaxson Dastrup,Senior,"Cedar Valley (Eagle Mountain, UT)","(Eagle Mountain, UT)",WR,1061,88.4,13.1,81,48,10,12
2019,"offense,receiving",406,Da'travion Knight,Senior,"Provine (Jackson, MS)","(Jackson, MS)",WR,1059,81.5,24.6,43,69,19,13
2019,"offense,receiving",407,Blasin Moore,Senior,"Hopkins County Central (Madisonville, KY)","(Madisonville, KY)","WR, FS",1059,96.3,15.6,68,5,9,11
2019,"offense,receiving",408,Trae Ausmer,Senior,Homewood (AL),(AL),WR,1059,105.9,15.1,70,71,10,10
2019,"offense,receiving",409,Miles Davis,Senior,Las Vegas (NV),(NV),WR,1057,96.1,23.0,46,81,13,11
2019,"offense,receiving",410,Nic?kel Freeman,Sophomore,"Lafayette (Mayo, FL)","(Mayo, FL)","WR, WR",1057,96.1,15.8,67,,5,11
2019,"offense,receiving",411,Donnovan Moorer,Senior,"Hebron Christian Academy (Dacula, GA)","(Dacula, GA)","WR, CB",1055,87.9,20.3,52,,10,12
2019,"offense,receiving",412,Chris Floyd jr.,Sophomore,"Glendale (Springfield, MO)","(Springfield, MO)",WR,1055,87.9,11.7,90,50,11,12
2019,"offense,receiving",413,Carson Hawks,Junior,"North Surry (Mount Airy, NC)","(Mount Airy, NC)","QB, SS",1054,105.4,22.4,47,60,9,10
2019,"offense,receiving",414,Rees Watkins,Senior,"Loyalsock Township (Williamsport, PA)","(Williamsport, PA)","WR, CB",1054,81.1,18.5,57,95,10,13
2019,"offense,receiving",415,Shakespeare Rodriguez,Senior,"Lyman Hall (Wallingford, CT)","(Wallingford, CT)","WR, FS",1054,105.4,18.2,58,79,13,10
2019,"offense,receiving",416,Miles Williams,Senior,"Justin-Siena (Napa, CA)","(Napa, CA)","TE, LB",1053,87.8,31.9,33,,15,12
2019,"offense,receiving",417,Omar Cooper,Sophomore,"Lawrence North (Indianapolis, IN)","(Indianapolis, IN)","QB, WR",1053,95.7,20.6,51,61,4,11
2019,"offense,receiving",418,Jackson Smith,Sophomore,"Holt (Wentzville, MO)","(Wentzville, MO)","WR, CB",1053,105.3,19.1,55,86,10,10
2019,"offense,receiving",419,Isaac Torres,Junior,"Piner (Santa Rosa, CA)","(Santa Rosa, CA)","WR, C",1053,95.7,18.8,56,55,21,11
2019,"offense,receiving",420,Bryce Tate,Senior,"McClintock (Tempe, AZ)","(Tempe, AZ)","WR, CB",1052,95.6,19.1,55,88,9,11
2019,"offense,receiving",421,Caleb Chappelle,Senior,"The Woodlands Christian Academy (The Woodlands, TX)","(The Woodlands, TX)","WR, CB",1052,80.9,19.1,55,71,14,13
2019,"offense,receiving",422,Reece Jesse,Junior,Hopkinsville (KY),(KY),"WR, FS",1052,87.7,18.8,56,82,14,12
2019,"offense,receiving",423,Grayson Sandlin,Senior,"Lake Travis (Austin, TX)","(Austin, TX)",WR,1052,70.1,16.7,63,49,15,15
2019,"offense,receiving",424,Lawrence Harris,Senior,"Downey (Modesto, CA)","(Modesto, CA)","WR, CB",1050,95.5,21.9,48,81,16,11
2019,"offense,receiving",425,Vito Russell,Senior,Alhambra (CA),(CA),"WR, CB",1050,80.8,16.4,64,67,13,13
2019,"offense,receiving",426,Jayvon Cohen,Senior,"Dorman (Roebuck, SC)","(Roebuck, SC)",,1049,69.9,22.8,46,58,9,15
2019,"offense,receiving",427,Raymond Cutler,Senior,"Autauga Academy (Prattville, AL)","(Prattville, AL)",WR,1049,95.4,21.0,50,70,14,11
2019,"offense,receiving",428,Kade Zimmerman,Junior,Irvine (CA),(CA),"WR, CB",1049,104.9,13.3,79,42,8,10
2019,"offense,receiving",429,Gus Davis,Senior,Sundown (TX),(TX),"WR, FS",1047,95.2,18.7,56,,6,11
2019,"offense,receiving",430,Justin Cantu,Senior,"Vela (Edinburg, TX)","(Edinburg, TX)","WR, QB",1047,87.3,17.7,59,70,10,12
2019,"offense,receiving",431,Andrew Sowinski,Senior,"Indianapolis Bishop Chatard (Indianapolis, IN)","(Indianapolis, IN)","WR, SS",1046,69.7,16.6,63,75,22,15
2019,"offense,receiving",432,Trey Mongauzy,Senior,"Vandegrift (Austin, TX)","(Austin, TX)","WR, CB",1046,87.2,13.2,79,59,11,12
2019,"offense,receiving",433,Keedrik Murray,Senior,Clearwater (FL),(FL),"SB, CB",1045,87.1,16.6,63,80,15,12
2019,"offense,receiving",434,Ethan Leonard,Senior,Hemet (CA),(CA),"WR, SS",1044,80.3,10.8,97,47,10,13
2019,"offense,receiving",435,Jordan Jackson,Senior,"Millbrook (Winchester, VA)","(Winchester, VA)","WR, CB",1043,94.8,21.3,49,78,10,11
2019,"offense,receiving",436,Jamiek Mccoy,Senior,"Marlboro County (Bennettsville, SC)","(Bennettsville, SC)",CB,1043,104.3,14.9,70,72,8,10
2019,"offense,receiving",437,Wilson Cal,Senior,"Sunny Hills (Fullerton, CA)","(Fullerton, CA)","WR, DB",1043,69.5,14.9,70,68,7,15
2019,"offense,receiving",438,Blayne Taylor,Senior,Saginaw (TX),(TX),WR,1042,94.7,15.6,67,60,10,11
2019,"offense,receiving",439,Darius Lewis,Senior,Del Valle (TX),(TX),WR,1042,104.2,14.9,70,62,10,10
2019,"offense,receiving",440,Clayton Stephenson,Senior,"Wake Christian Academy (Raleigh, NC)","(Raleigh, NC)","WR, CB",1041,94.6,20.4,51,,15,11
2019,"offense,receiving",441,Brandon Wyre,Senior,"West Ranch (Valencia, CA)","(Valencia, CA)","WR, CB",1041,80.1,17.6,59,85,10,13
2019,"offense,receiving",442,Gabe Davis,Junior,Minersville (PA),(PA),"QB, DB",1041,104.1,16.0,65,80,10,10
2019,"offense,receiving",443,Anthony Roberson ii,Senior,"Palmer Ridge (Monument, CO)","(Monument, CO)","CB, SB",1040,80.0,20.4,51,86,12,13
2019,"offense,receiving",444,Brian Andre pierce jr.,Senior,Pittsburg (CA),(CA),"SB, FS",1040,80.0,17.3,60,80,16,13
2019,"offense,receiving",445,Zach Stretch,Senior,"Liberty (Mountain View, MO)","(Mountain View, MO)","WR, QB",1040,94.5,15.3,68,48,10,11
2019,"offense,receiving",446,Cooper Hext,Senior,DeQuincy (LA),(LA),"WR, QB",1040,94.5,13.5,77,35,10,11
2019,"offense,receiving",447,Smith Tyron,Junior,Apple Valley (CA),(CA),"WR, CB",1037,94.3,19.6,53,,17,11
2019,"offense,receiving",448,Christian Leary,Junior,"Edgewater (Orlando, FL)","(Orlando, FL)","SB, WR",1036,69.1,22.5,46,,8,15
2019,"offense,receiving",449,Mason Mangum,Senior,"Westlake (Austin, TX)","(Austin, TX)","WR, CB",1036,64.8,16.2,64,52,14,16
2019,"offense,receiving",450,Evan Gandee,Junior,"Warren (Vincent, OH)","(Vincent, OH)","WR, CB",1036,103.6,14.0,74,,10,10
2019,"offense,receiving",351,Brandon Kim,Senior,"La Jolla Country Day (La Jolla, CA)","(La Jolla, CA)","WR, DL",1088,83.7,15.5,70,47,10,13
2019,"offense,receiving",352,Aidan Lee,Senior,"Desert Ridge (Mesa, AZ)","(Mesa, AZ)","WR, RB",1088,90.7,14.3,76,80,10,12
2019,"offense,receiving",353,Kobe Chambers,Senior,Greenwood (MS),(MS),"SB, WR",1087,77.6,21.3,51,68,14,14
2019,"offense,receiving",354,Tj Lowery,Senior,"Harford Tech (Bel Air, MD)","(Bel Air, MD)","S, WR",1087,98.8,18.7,58,61,9,11
2019,"offense,receiving",355,Chanton Millender,Junior,Moss Point (MS),(MS),"WR, CB",1087,98.8,16.7,65,73,14,11
2019,"offense,receiving",356,Marquice Crowell,Senior,Anderson (CA),(CA),"WR, CB",1085,108.5,23.6,46,69,15,10
2019,"offense,receiving",357,Andrew Moffett,Senior,Pass Christian (MS),(MS),"WR, FS",1085,90.4,20.9,52,74,10,12
2019,"offense,receiving",358,Antrelle Sims,Junior,Wesson (MS),(MS),,1085,83.5,17.8,61,71,9,13
2019,"offense,receiving",359,Prince Kollie,Junior,"David Crockett (Jonesborough, TN)","(Jonesborough, TN)","RB, SS",1085,98.6,16.0,68,70,9,11
2019,"offense,receiving",360,Gabe Johnson,Senior,Choctaw (OK),(OK),"WR, DB",1084,90.3,14.3,76,,15,12
2019,"offense,receiving",361,Johnny Espinosa,Senior,"Lake View (San Angelo, TX)","(San Angelo, TX)","DB, WR",1083,98.5,24.1,45,45,2,11
2019,"offense,receiving",362,Kodi Jones,Senior,"Eastside (Taylors, SC)","(Taylors, SC)",WR,1082,108.2,17.7,61,46,11,10
2019,"offense,receiving",363,Alex Watters,Sophomore,"Lansing Catholic (Lansing, MI)","(Lansing, MI)","WR, LB",1081,77.2,25.7,42,75,14,14
2019,"offense,receiving",364,Isac Hall,Senior,"Westview (Avondale, AZ)","(Avondale, AZ)","WR, SB",1081,108.1,19.0,57,61,13,10
2019,"offense,receiving",365,Braden Mundy,Sophomore,"Owensboro Catholic (Owensboro, KY)","(Owensboro, KY)","RB, WR",1080,90.0,20.0,54,,7,12
2019,"offense,receiving",366,Vince Fyock,Junior,"Shade (Cairnbrook, PA)","(Cairnbrook, PA)","WR, OLB",1080,98.2,19.3,56,76,10,11
2019,"offense,receiving",367,Garrett Ellender,Junior,Lindsay (TX),(TX),,1080,90.0,16.9,64,52,14,12
2019,"offense,receiving",368,Marlon Crockett,Junior,Searcy (AR),(AR),"WR, FS",1080,90.0,16.6,65,95,13,12
2019,"offense,receiving",369,Logan Snyder,Senior,"Penns Valley Area (Spring Mills, PA)","(Spring Mills, PA)","TE, MLB",1080,98.2,15.0,72,67,12,11
2019,"offense,receiving",370,Haydn Hollin,Senior,"Claiborne (New Tazewell, TN)","(New Tazewell, TN)","WR, DB",1079,107.9,21.6,50,52,11,10
2019,"offense,receiving",371,Ben Lawson,Senior,Bethany (OK),(OK),"WR, CB",1079,98.1,16.3,66,81,13,11
2019,"offense,receiving",372,Michael Bruner,Junior,"Woodrow Wilson (Long Beach, CA)","(Long Beach, CA)",WR,1078,107.8,28.4,38,75,18,10
2019,"offense,receiving",373,Luke Padilla,Senior,"Pioneer (Mission, TX)","(Mission, TX)",WR,1078,82.9,17.1,63,56,18,13
2019,"offense,receiving",374,Kyler Stancato,Senior,"Mountain Ridge (Glendale, AZ)","(Glendale, AZ)",WR,1078,98.0,16.6,65,50,14,11
2019,"offense,receiving",375,Gage Sessions,Senior,"Summit Academy (Bluffdale, UT)","(Bluffdale, UT)","WR, FS",1078,98.0,15.0,72,75,11,11
2019,"offense,receiving",376,Andy Myers,Senior,Martinsville (IN),(IN),"MLB, RB",1077,97.9,15.4,70,72,16,11
2019,"offense,receiving",377,Austin Poe,Junior,"Ashe County (West Jefferson, NC)","(West Jefferson, NC)",WR,1077,107.7,14.4,75,80,12,10
2019,"offense,receiving",378,Darian Carr,Junior,Sweetwater (TX),(TX),"WR, CB",1076,107.6,23.9,45,63,15,10
2019,"offense,receiving",379,Amarea Bailey,Senior,"Judson (Converse, TX)","(Converse, TX)","QB, WR",1076,76.9,22.9,47,78,9,14
2019,"offense,receiving",380,Kevin Green Jr,Sophomore,"Alemany (Mission Hills, CA)","(Mission Hills, CA)","WR, S",1076,89.7,13.3,81,45,8,12
2019,"offense,receiving",381,Errick Simmons,Senior,Greenville (MS),(MS),WR,1074,97.6,21.1,51,,11,11
2019,"offense,receiving",382,Eric Wiles,Senior,"Starmount (Boonville, NC)","(Boonville, NC)",,1074,82.6,17.3,62,12,11,13
2019,"offense,receiving",383,Jayden Jones,Senior,"Rockwall-Heath (Rockwall, TX)","(Rockwall, TX)","WR, FS",1073,107.3,25.5,42,98,14,10
2019,"offense,receiving",384,Devonte Ross,Junior,Cartersville (GA),(GA),"CB, WR",1073,82.5,20.2,53,72,11,13
2019,"offense,receiving",385,JC Reese,Junior,Lebanon (IN),(IN),"WR, FS",1072,97.5,21.0,51,80,14,11
2019,"offense,receiving",386,Xavier Watts,Senior,"Burke (Omaha, NE)","(Omaha, NE)","WR, FS",1072,97.5,17.6,61,73,13,11
2019,"offense,receiving",387,Jorden Young,Senior,"Perry (Gilbert, AZ)","(Gilbert, AZ)",WR,1070,97.3,17.0,63,75,10,11
2019,"offense,receiving",388,Roshawn Lacy,Senior,"Esperanza (Anaheim, CA)","(Anaheim, CA)","WR, CB",1069,76.4,20.6,52,,16,14
2019,"offense,receiving",389,Austin Mortensen,Senior,Springville (UT),(UT),"WR, SS",1069,106.9,19.4,55,88,18,10
2019,"offense,receiving",390,Adriel Clark,Junior,"Riverside Military Academy (Gainesville, GA)","(Gainesville, GA)",WR,1069,106.9,19.4,55,,14,10
2019,"offense,receiving",391,Trey Hummel,Senior,"Spanish Springs (Sparks, NV)","(Sparks, NV)","WR, DB",1069,89.1,17.0,63,46,15,12
2019,"offense,receiving",392,Lucas Eppinger,Senior,"Acalanes (Lafayette, CA)","(Lafayette, CA)",WR,1068,89.0,24.8,43,87,14,12
2019,"offense,receiving",393,Cannon Melchi,Sophomore,West Lafayette (IN),(IN),"DB, WR",1068,89.0,10.6,101,57,11,12
2019,"offense,receiving",394,Jacob Slifka,Senior,Banks (OR),(OR),"WR, SS",1067,88.9,19.4,55,79,15,12
2019,"offense,receiving",395,Jacob Walker,Senior,"Mesquite (Gilbert, AZ)","(Gilbert, AZ)","WR, FS",1067,88.9,17.2,62,47,18,12
2019,"offense,receiving",396,Micah Smith,Senior,"Wesleyan (Norcross, GA)","(Norcross, GA)","WR, DB",1067,71.1,15.9,67,75,13,15
2019,"offense,receiving",397,Kris Martin,Senior,"El Dorado (El Paso, TX)","(El Paso, TX)","WR, DB",1067,106.7,15.0,71,73,9,10
2019,"offense,receiving",398,Rufus Harvey iii,Senior,Starkville (MS),(MS),,1066,76.1,14.2,75,,16,14
2019,"offense,receiving",399,Eli Jochem,Junior,"Pine-Richland (Gibsonia, PA)","(Gibsonia, PA)","WR, FS",1065,88.8,15.0,71,80,14,12
2019,"offense,receiving",400,Devin Amphone,Senior,Montclair (CA),(CA),"WR, DB",1065,106.5,14.0,76,32,8,10
2019,"offense,receiving",251,Ben Reade,Senior,"Tamalpais (Mill Valley, CA)","(Mill Valley, CA)","WR, P",1156,105.1,18.3,63,81,17,11
2019,"offense,receiving",252,Anthony Fiffie,Senior,"Jack Britt (Fayetteville, NC)","(Fayetteville, NC)",WR,1156,88.9,14.3,81,83,17,13
2019,"offense,receiving",253,Ulysees Russell,Junior,"Aquinas Institute (Rochester, NY)","(Rochester, NY)","WR, S",1155,115.5,20.6,56,77,12,10
2019,"offense,receiving",254,Monterren Parks,Senior,Aledo (TX),(TX),WR,1155,77.0,18.0,64,73,19,15
2019,"offense,receiving",255,David Pantelis,Junior,Upper St. Clair (PA),(PA),"SB, CB",1154,96.2,15.2,76,7,8,12
2019,"offense,receiving",256,Kalin Black,Junior,"Living Word Christian (O'Fallon, MO)","(O'Fallon, MO)","FS, WR",1152,96.0,22.2,52,47,9,12
2019,"offense,receiving",257,Seth Meador,Senior,"Guyer (Denton, TX)","(Denton, TX)","WR, CB",1151,71.9,20.6,56,67,18,16
2019,"offense,receiving",258,Tanner Dabbert,Senior,"San Angelo Central (San Angelo, TX)","(San Angelo, TX)","WR, QB",1151,104.6,16.2,71,65,15,11
2019,"offense,receiving",259,Bradley Schlom,Senior,"Corona del Mar (Newport Beach, CA)","(Newport Beach, CA)","WR, FS",1151,71.9,12.6,91,54,17,16
2019,"offense,receiving",260,Reed Callister,Senior,"Miramonte (Orinda, CA)","(Orinda, CA)","WR, CB",1150,115.0,16.2,71,80,15,10
2019,"offense,receiving",261,DeMarco Brodnax,Senior,"Rosemont (Sacramento, CA)","(Sacramento, CA)",WR,1150,115.0,15.5,74,,17,10
2019,"offense,receiving",262,Tanner Holden,Senior,American Fork (UT),(UT),"WR, CB",1150,76.7,14.7,78,89,15,15
2019,"offense,receiving",263,Marion Haley,Junior,"Skyline (Front Royal, VA)","(Front Royal, VA)",WR,1149,95.8,16.4,70,92,18,12
2019,"offense,receiving",264,Malik Phillips,Senior,Clovis (NM),(NM),"WR, CB",1147,95.6,14.7,78,,17,12
2019,"offense,receiving",265,Colston Loveland,Sophomore,Gooding (ID),(ID),"WR, CB",1147,114.7,12.6,91,51,14,10
2019,"offense,receiving",266,Ricky Chapa,Senior,"United (Laredo, TX)","(Laredo, TX)","WR, QB",1146,88.2,21.6,53,81,19,13
2019,"offense,receiving",267,Kasen Kinchen,Senior,Lake Stevens (WA),(WA),"DB, WR",1145,95.4,20.8,55,88,12,12
2019,"offense,receiving",268,Everett Stubblefield III,Senior,"Willowbrook (Villa Park, IL)","(Villa Park, IL)",WR,1145,88.1,19.7,58,,13,13
2019,"offense,receiving",269,Cassius Clay,Senior,"Miller (Corpus Christi, TX)","(Corpus Christi, TX)","WR, CB",1145,88.1,16.6,69,57,10,13
2019,"offense,receiving",270,Dylan Abernethy,Senior,Maiden (NC),(NC),"WR, FS",1145,88.1,16.1,71,93,17,13
2019,"offense,receiving",271,Jacob Bowbliss,Senior,"Union Pines (Cameron, NC)","(Cameron, NC)","WR, DB",1144,95.3,15.3,75,63,8,12
2019,"offense,receiving",272,Darius Kane,Sophomore,"Eastern Alamance (Mebane, NC)","(Mebane, NC)",WR,1142,87.8,30.1,38,77,16,13
2019,"offense,receiving",273,Kobe Paysour,Junior,Kings Mountain (NC),(NC),"WR, CB",1142,76.1,19.0,60,31,16,15
2019,"offense,receiving",274,Joey Rouly,Senior,"Canyon (Anaheim, CA)","(Anaheim, CA)","WR, K",1142,114.2,18.7,61,75,13,10
2019,"offense,receiving",275,Anthony Williams,Senior,Paramount (CA),(CA),ATH,1142,87.8,17.8,64,75,15,13
2019,"offense,receiving",276,Kobe Young,Senior,"C.H. Yoe (Cameron, TX)","(Cameron, TX)","WR, FS",1142,87.8,17.6,65,88,15,13
2019,"offense,receiving",277,Aden Moskovitz,Junior,Vernon (NJ),(NJ),,1142,114.2,15.2,75,85,11,10
2019,"offense,receiving",278,Kevin Hamilton,Junior,"J.H. Rose (Greenville, NC)","(Greenville, NC)",WR,1140,114.0,19.0,60,73,15,10
2019,"offense,receiving",279,Nick Chimienti,Senior,"Central Dauphin (Harrisburg, PA)","(Harrisburg, PA)","WR, DB",1139,75.9,19.0,60,72,10,15
2019,"offense,receiving",280,Andrew Cote,Senior,"Norwich Free Academy (Norwich, CT)","(Norwich, CT)",WR,1139,113.9,18.1,63,80,15,10
2019,"offense,receiving",281,Jacob De Jesus,Senior,Manteca (CA),(CA),"WR, DB",1139,81.4,17.8,64,85,16,14
2019,"offense,receiving",282,D T Gideon,Senior,"Escambia (Pensacola, FL)","(Pensacola, FL)","WR, CB",1138,75.9,20.3,56,95,12,15
2019,"offense,receiving",283,Fischer Webb,Senior,Mangum (OK),(OK),"WR, FS",1137,94.8,18.6,61,55,5,12
