file_year,category,rank,name,year,high_school,city_state,position,totalpoints,pointspergame,totaltdnum,fgmade,patkickingmade,safeties,gamesplayed
2019,"offense,scoring",251,Nicholas Albert,Senior,"La Jolla Country Day (La Jolla, CA)","(La Jolla, CA)","RB, LB",180,13.8,29,,,,13
2019,"offense,scoring",252,Hayze Hufstedler,Junior,Canadian (TX),(TX),"RB, LB",180,12.9,30,,,,14
2019,"offense,scoring",253,Lajathen Allen,Senior,"Pewitt (Omaha, TX)","(Omaha, TX)","DB, FB",180,11.3,30,,,,16
2019,"offense,scoring",254,Kimani Vidal,Senior,Marietta (GA),(GA),RB,180,11.3,30,,,,16
2019,"offense,scoring",255,Avery Seaton,Junior,"Madison Academy (Madison, AL)","(Madison, AL)",QB,178,16.2,29,,,,11
2019,"offense,scoring",256,Ivan Ostry,Junior,Rosemead (CA),(CA),"QB, SS",178,16.2,29,,,,11
2019,"offense,scoring",257,Tristen Hines,Senior,Milan (MI),(MI),"DB, QB",178,14.8,28,,,0,12
2019,"offense,scoring",258,Josh Balcarcel,Senior,"Delaware Valley (Milford, PA)","(Milford, PA)",RB,178,14.8,29,,,,12
2019,"offense,scoring",259,Evan Joubert,Junior,"St. Louis Catholic (Lake Charles, LA)","(Lake Charles, LA)",,178,14.8,29,,,,12
2019,"offense,scoring",260,Amir Pittman-williams,Senior,"Northern Nash (Rocky Mount, NC)","(Rocky Mount, NC)","RB, MLB",178,13.7,29,,,,13
2019,"offense,scoring",261,Ryan Walsh,Junior,"Andrean (Merrillville, IN)","(Merrillville, IN)","RB, OLB",178,12.7,29,,,,14
2019,"offense,scoring",262,Caleb Burke,Senior,"Richland (Johnstown, PA)","(Johnstown, PA)","ATH, FS",178,12.7,29,,,,14
2019,"offense,scoring",263,Tijay Thomas-davis,Senior,San Augustine (TX),(TX),RB,178,12.7,24,,18,,14
2019,"offense,scoring",264,Jeffery Pittman,Junior,Taylorsville (MS),(MS),"RB, LB",177,11.1,29,,3,,16
2019,"offense,scoring",265,Jordan Delucia,Senior,"Kellenberg Memorial (Uniondale, NY)","(Uniondale, NY)","RB, OLB",176,17.6,29,,,,10
2019,"offense,scoring",266,Khiari Mccoy,Senior,"Carver (Columbus, GA)","(Columbus, GA)","RB, SB",176,16.0,26,,,,11
2019,"offense,scoring",267,Jake L fike,Junior,"East Central (St. Leon, IN)","(St. Leon, IN)","RB, OLB",176,16.0,29,,,,11
2019,"offense,scoring",268,Cole Manning,Junior,Walnut Ridge (AR),(AR),"ATH, DB",176,16.0,28,,,0,11
2019,"offense,scoring",269,Krys Riley-Richardson,Senior,Streetsboro (OH),(OH),"RB, MLB",176,14.7,29,,,0,12
2019,"offense,scoring",270,Tyrese Brandon,Senior,Northampton (PA),(PA),"RB, CB",176,14.7,29,,,,12
2019,"offense,scoring",271,Terrence Bogan,Senior,"Sheehan (Wallingford, CT)","(Wallingford, CT)","RB, CB",176,14.7,29,,,,12
2019,"offense,scoring",272,Cookie Desiderio,Junior,Somerville (NJ),(NJ),"RB, OLB",176,14.7,23,,,,12
2019,"offense,scoring",273,Simon Gaete,Senior,Palm Desert (CA),(CA),RB,176,14.7,29,,,,12
2019,"offense,scoring",274,Cory Mcintyre,Senior,Sutter (CA),(CA),"QB, SB",176,13.5,20,6,38,,13
2019,"offense,scoring",275,Jordan Niles,Senior,"Clearwater Central Catholic (Clearwater, FL)","(Clearwater, FL)",RB,176,12.6,29,,,0,14
2019,"offense,scoring",276,Jax Miller,Senior,"Avonworth (Pittsburgh, PA)","(Pittsburgh, PA)","SS, RB",176,11.7,29,,,0,15
2019,"offense,scoring",277,Ty Kilcullen,Senior,"Hiawatha (Kirkland, IL)","(Kirkland, IL)","QB, SB",175,17.5,22,,33,,10
2019,"offense,scoring",278,Cam'ron Valdez,Junior,Rockdale (TX),(TX),"RB, FS",174,17.4,29,,,,10
2019,"offense,scoring",279,Devin Miles,Junior,Danville (IL),(IL),"RB, CB",174,17.4,29,,,,10
2019,"offense,scoring",280,Jason Terry,Sophomore,"Fairmont Prep (Anaheim, CA)","(Anaheim, CA)","RB, OLB",174,17.4,29,,,,10
2019,"offense,scoring",281,Mason Alberts,Senior,"Anthony Wayne (Whitehouse, OH)","(Whitehouse, OH)","QB, WR",174,15.8,29,,,,11
2019,"offense,scoring",282,Davian Price,Senior,Booneville (MS),(MS),"RB, DB",174,15.8,29,,,,11
2019,"offense,scoring",283,Draven Smith,Senior,Vilonia (AR),(AR),RB,174,15.8,29,,,,11
2019,"offense,scoring",284,Keaghan McAllister,Senior,"Stevens (Claremont, NH)","(Claremont, NH)","RB, OLB",174,15.8,27,,,,11
2019,"offense,scoring",285,Dj Brown,Sophomore,Leonard (TX),(TX),"QB, FS",174,15.8,26,,,,11
2019,"offense,scoring",286,Jordan Jefferson,Senior,"Rancho Verde (Moreno Valley, CA)","(Moreno Valley, CA)","RB, SB",174,15.8,29,,,,11
2019,"offense,scoring",287,Dallas Landeros,Senior,Lake Stevens (WA),(WA),"RB, LB",174,15.8,29,,,,11
2019,"offense,scoring",288,Phillip Smith,Senior,"Rim of the World (Lake Arrowhead, CA)","(Lake Arrowhead, CA)","CB, RB",174,15.8,29,,,,11
2019,"offense,scoring",289,Conner Kestler,Senior,"Calhoun (Port Lavaca, TX)","(Port Lavaca, TX)","FS, QB",174,14.5,29,,,,12
2019,"offense,scoring",290,Nicholas Floyd,Senior,"Centennial (Corona, CA)","(Corona, CA)",RB,174,14.5,29,,,,12
2019,"offense,scoring",291,Brennan Presley,Senior,Bixby (OK),(OK),"WR, CB",174,14.5,29,,,,12
2019,"offense,scoring",292,Josh Henderson,Senior,"Grace Brethren (Simi Valley, CA)","(Simi Valley, CA)","MLB, RB",174,14.5,29,,,,12
2019,"offense,scoring",293,Braylin Presley,Sophomore,Bixby (OK),(OK),"RB, FS",174,13.4,29,,,,13
2019,"offense,scoring",294,Jaylin Lane,Senior,Clover (SC),(SC),WR,174,13.4,29,,,,13
2019,"offense,scoring",295,Peyton Knaub,Senior,Weslaco (TX),(TX),"RB, WR",174,13.4,29,,,,13
2019,"offense,scoring",296,Reece Rodgers,Senior,Brownwood (TX),(TX),"WR, CB",174,13.4,29,,,,13
2019,"offense,scoring",297,De'Anthony Lewis,Junior,"Judson (Converse, TX)","(Converse, TX)",RB,174,12.4,29,,,,14
2019,"offense,scoring",298,Henry Parrish jr.,Senior,"Columbus (Miami, FL)","(Miami, FL)",RB,174,12.4,29,,,,14
2019,"offense,scoring",299,Emani Bailey,Senior,"Ryan (Denton, TX)","(Denton, TX)",RB,174,12.4,29,,,,14
2019,"offense,scoring",300,Zach Hrbacek,Junior,Troy (TX),(TX),"RB, CB",174,12.4,29,,,,14
2019,"offense,scoring",301,Brody Hughes,Senior,"Temecula Valley (Temecula, CA)","(Temecula, CA)","FS, RB",174,12.4,29,,,,14
2019,"offense,scoring",302,Marqueise Coleman,Senior,St. Pauls (NC),(NC),RB,172,15.6,28,,,,11
2019,"offense,scoring",303,Doreion Akins,Senior,"Johnson (Sacramento, CA)","(Sacramento, CA)",ATH,172,15.6,26,,,,11
2019,"offense,scoring",304,Gary Hawkins,Senior,"Screven County (Sylvania, GA)","(Sylvania, GA)","LB, RB",172,15.6,28,,,,11
2019,"offense,scoring",305,Ryan Kershaw,Junior,"La Salle (Union Gap, WA)","(Union Gap, WA)","RB, DE",172,14.3,28,,,,12
2019,"offense,scoring",306,Brayden Wilcox,Junior,Christoval (TX),(TX),"QB, CB",172,14.3,28,,,,12
2019,"offense,scoring",307,Grayson Rogers,Senior,"Hobbton (Newton Grove, NC)","(Newton Grove, NC)","QB, FS",172,13.2,27,,,,13
2019,"offense,scoring",308,Quan Nora,Senior,"Grimsley (Greensboro, NC)","(Greensboro, NC)","RB, DB",172,13.2,28,,,,13
2019,"offense,scoring",309,Carter Harris,Senior,Elk Grove (CA),(CA),"QB, FS",172,11.5,28,,,,15
2019,"offense,scoring",310,Dylan Mallozzi,Senior,"Thomas Jefferson (Jefferson Hills, PA)","(Jefferson Hills, PA)","RB, DB",172,10.8,28,,,,16
2019,"offense,scoring",311,Marquis Munoz,Senior,"Lafayette Jefferson (Lafayette, IN)","(Lafayette, IN)","RB, OLB",170,17.0,28,,,,10
2019,"offense,scoring",312,Caleb Bower,Junior,"Wyoming East (New Richmond, WV)","(New Richmond, WV)","RB, LB",170,15.5,27,,,0,11
2019,"offense,scoring",313,Davin Parker,Junior,"Alchesay (Whiteriver, AZ)","(Whiteriver, AZ)","RB, DB",170,15.5,26,,,,11
2019,"offense,scoring",314,Junior Summerhill,Senior,Waterloo (AL),(AL),"RB, SS",170,15.5,27,,,,11
2019,"offense,scoring",315,Colby Sampson,Senior,Alvarado (TX),(TX),"RB, FB",170,14.2,28,,,,12
2019,"offense,scoring",316,Carson Barney,Senior,Benson (AZ),(AZ),,170,14.2,23,,22,,12
2019,"offense,scoring",317,Tyishaun Woods,Senior,"Indianapolis Scecina Memorial (Indianapolis, IN)","(Indianapolis, IN)","MLB, RB",170,14.2,28,,,,12
2019,"offense,scoring",318,Sean O'keefe,Senior,San Saba (TX),(TX),"QB, CB",170,13.1,28,,,,13
2019,"offense,scoring",319,Jerry Garcia jr,Junior,"Gray's Creek (Hope Mills, NC)","(Hope Mills, NC)","RB, SS",170,13.1,28,,,,13
2019,"offense,scoring",320,Alex Lack,Junior,"Lubbock Christian (Lubbock, TX)","(Lubbock, TX)","QB, SS",170,13.1,24,,,0,13
2019,"offense,scoring",321,Jhari Patterson,Senior,"A.C. Reynolds (Asheville, NC)","(Asheville, NC)","WR, SS",170,12.1,28,,,,14
2019,"offense,scoring",322,Taytem Thetford,Senior,Post (TX),(TX),"QB, OLB",170,11.3,28,,,,15
2019,"offense,scoring",323,Camilo Pedraza,Senior,"Alexander (Laredo, TX)","(Laredo, TX)",RB,168,16.8,28,,,,10
2019,"offense,scoring",324,Austin Newcomb,Senior,"Clarion Area (Clarion, PA)","(Clarion, PA)",RB,168,16.8,27,,,,10
2019,"offense,scoring",325,Kaleb Wright,Junior,"Southeast (Ravenna, OH)","(Ravenna, OH)","RB, OLB",168,16.8,28,,,,10
2019,"offense,scoring",326,Cole Campbell,Senior,"Winchester Community (Winchester, IN)","(Winchester, IN)","RB, DB",168,16.8,23,,,0,10
2019,"offense,scoring",327,James Ochoa,Senior,Arleta (CA),(CA),"TB, KR",168,16.8,28,,,,10
2019,"offense,scoring",328,Goldman Butler,Junior,"Biggersville (Corinth, MS)","(Corinth, MS)","FB, ILB",168,15.3,26,,,,11
2019,"offense,scoring",329,Jace Klucewich,Junior,Frenchtown (MT),(MT),"SB, FS",168,15.3,28,,,,11
2019,"offense,scoring",330,James Tarver,Junior,"Maloney (Meriden, CT)","(Meriden, CT)","RB, DB",168,15.3,28,,,,11
2019,"offense,scoring",331,Anthony Frasier,Senior,"ATI [Abbott RVT/Immaculate] (Danbury, CT)","(Danbury, CT)","RB, QB",168,15.3,25,,,,11
2019,"offense,scoring",332,Cooper Cunningham,Senior,Tonganoxie (KS),(KS),"RB, SS",168,15.3,28,,,,11
2019,"offense,scoring",333,Jeriah Hightower,Senior,"Madisonville-North Hopkins (Madisonville, KY)","(Madisonville, KY)","RB, MLB",168,14.0,27,,,,12
2019,"offense,scoring",334,Daniel Hishaw jr,Senior,Moore (OK),(OK),"QB, CB",168,14.0,27,,,,12
2019,"offense,scoring",335,Jacob Slifka,Senior,Banks (OR),(OR),"WR, SS",168,14.0,15,9,49,,12
2019,"offense,scoring",336,Ethan Harris,Senior,"Northern Highlands (Allendale, NJ)","(Allendale, NJ)",RB,168,14.0,28,,,,12
2019,"offense,scoring",337,Sawyer Morrow,Junior,"Penney (Hamilton, MO)","(Hamilton, MO)",,168,14.0,23,0,28,0,12
2019,"offense,scoring",338,Dakory Willis,Senior,Flatonia (TX),(TX),RB,168,14.0,27,,,,12
2019,"offense,scoring",339,Garrett Stout,Senior,"Riggs (Pierre, SD)","(Pierre, SD)","WR, CB",168,14.0,28,,,,12
2019,"offense,scoring",340,Jonah Roberts,Senior,Windsor (MO),(MO),"RB, SS",168,12.9,23,,,,13
2019,"offense,scoring",341,Jesse Valenzuela,Senior,Camarillo (CA),(CA),"RB, CB",168,12.9,28,,,,13
2019,"offense,scoring",342,Kody Epps,Senior,"Mater Dei (Santa Ana, CA)","(Santa Ana, CA)",WR,168,12.9,28,,,,13
2019,"offense,scoring",343,Jaheim Morris,Senior,"Cedar Cliff (Camp Hill, PA)","(Camp Hill, PA)","RB, CB",168,12.9,28,,,,13
2019,"offense,scoring",344,Brig Turley,Senior,Snowflake (AZ),(AZ),"RB, OLB",168,12.9,28,,,,13
2019,"offense,scoring",345,Euler De Leon,Senior,"Navarro (Geronimo, TX)","(Geronimo, TX)","RB, SS",168,12.0,27,,,,14
2019,"offense,scoring",346,Thaddius Franklin,Junior,"Chaminade-Madonna (Hollywood, FL)","(Hollywood, FL)","QB, RB",168,12.0,28,,,,14
2019,"offense,scoring",347,Cole Kirkpatrick,Junior,Argyle (TX),(TX),"WR, FS",168,12.0,28,,,,14
2019,"offense,scoring",348,Paul Neel,Junior,"Charlotte Catholic (Charlotte, NC)","(Charlotte, NC)",RB,168,11.2,28,,,,15
2019,"offense,scoring",349,Stephen Gosnell,Senior,"East Surry (Pilot Mountain, NC)","(Pilot Mountain, NC)","WR, QB",168,11.2,28,,,0,15
2019,"offense,scoring",350,Christopher Beasley jr.,Senior,"Maury (Norfolk, VA)","(Norfolk, VA)","RB, CB",168,11.2,28,,,,15
2019,"offense,scoring",201,Kujuan Pryor,Senior,"Burns (Lawndale, NC)","(Lawndale, NC)","RB, FS",188,12.5,31,,,,15
2019,"offense,scoring",202,BHAYSHUL TUTEN,Junior,Paulsboro (NJ),(NJ),"RB, DB",186,18.6,30,,,,10
2019,"offense,scoring",203,Chad Bach,Senior,Lowville (NY),(NY),"QB, LB",186,16.9,27,,,,11
2019,"offense,scoring",204,Lonnie Wessel,Junior,"Golden West (Visalia, CA)","(Visalia, CA)","RB, MLB",186,15.5,30,,,,12
2019,"offense,scoring",205,Johnathon Smith,Senior,Mount Airy (NC),(NC),"RB, FS",186,15.5,30,,,2,12
2019,"offense,scoring",206,Tharon Davis,Junior,Newport (AR),(AR),RB,186,15.5,31,,,,12
2019,"offense,scoring",207,Aziya Jamison,Sophomore,"American Leadership Academy (Queen Creek, AZ)","(Queen Creek, AZ)","RB, MLB",186,15.5,31,,,0,12
2019,"offense,scoring",208,Gabe Huskey,Senior,Harrison (AR),(AR),"RB, OLB",186,15.5,31,,,,12
2019,"offense,scoring",209,Landon Stone,Junior,"Magnet Cove (Malvern, AR)","(Malvern, AR)","RB, LB",186,14.3,31,,,,13
2019,"offense,scoring",210,Tyler Harrison,Sophomore,Paradise (CA),(CA),RB,186,14.3,30,,,,13
2019,"offense,scoring",211,Luis Contreras,Senior,"Lincoln (San Francisco, CA)","(San Francisco, CA)","CB, RB",186,14.3,30,,,,13
2019,"offense,scoring",212,Daylon Powell,Junior,Hoxie (AR),(AR),"QB, OLB",186,14.3,26,,,,13
2019,"offense,scoring",213,Cody Smith,Senior,"Patrick Henry (Glade Spring, VA)","(Glade Spring, VA)","CB, WR",186,13.3,28,,,,14
2019,"offense,scoring",214,Ja'hari Mitchell,Senior,Shelby (NC),(NC),"WR, DB",186,13.3,31,,,,14
2019,"offense,scoring",215,Emeka Egbuka,Junior,Steilacoom (WA),(WA),"WR, DB",186,13.3,31,,,0,14
2019,"offense,scoring",216,Marvin Mims,Senior,"Lone Star (Frisco, TX)","(Frisco, TX)",WR,186,13.3,31,,,,14
2019,"offense,scoring",217,Lj Butler,Junior,"Wagner (San Antonio, TX)","(San Antonio, TX)","RB, QB",186,12.4,30,,,,15
2019,"offense,scoring",218,Aj Boulware,Senior,"Lee County (Sanford, NC)","(Sanford, NC)","RB, OLB",186,12.4,31,,,,15
2019,"offense,scoring",219,Iuden Romero,Senior,Stratford (TX),(TX),"RB, CB",185,12.3,30,,1,0,15
2019,"offense,scoring",220,Jack Laslo,Senior,"Harrells Christian Academy (Harrells, NC)","(Harrells, NC)","FB, MLB",184,16.7,29,,,,11
2019,"offense,scoring",221,Kadarius Akins,Senior,Forrest City (AR),(AR),"RB, LB",184,16.7,29,,,,11
2019,"offense,scoring",222,Kyle Cichanowsky,Senior,"East (West Chester, PA)","(West Chester, PA)","RB, CB",184,15.3,30,,,,12
2019,"offense,scoring",223,Shaykeem Harmon,Senior,Ansonia (CT),(CT),"RB, DB",184,15.3,25,,,,12
2019,"offense,scoring",224,Steve Johnson,Junior,"Calhoun (Port Lavaca, TX)","(Port Lavaca, TX)","FB, OLB",184,15.3,30,,,,12
