file_year,category,rank,name,year,high_school,city_state,position,totaltdnum,rushingtdnum,receivingtdnum,fumblereturnedtdnum,intreturnedtdnum,puntreturnedtdnum,kickoffreturnedtdnum,tdspergame,gamesplayed
2019,"offense,touchdowns",451,Sean Zerkle,Junior,"St. John Paul II (Huntsville, AL)","(Huntsville, AL)","WR, FS",25,,25,,,,,2.1,12
2019,"offense,touchdowns",452,Caullin Lacy,Senior,"Faith Academy (Mobile, AL)","(Mobile, AL)","ATH, CB",25,23,2,,,,0,2.1,12
2019,"offense,touchdowns",453,Jed Evans,Senior,"Granville Central (Stem, NC)","(Stem, NC)","CB, RB",25,20,3,,,2,,2.1,12
2019,"offense,touchdowns",454,Valdarion Fowler,Senior,Newton (TX),(TX),"RB, CB",25,23,2,,,,,2.1,12
2019,"offense,touchdowns",455,Jesse Carmona,Sophomore,"Ganesha (Pomona, CA)","(Pomona, CA)",QB,25,25,,,,,,2.1,12
2019,"offense,touchdowns",456,Nathan Iskander,Senior,"Hillsdale (San Mateo, CA)","(San Mateo, CA)","RB, FS",25,23,2,,,0,0,2.1,12
2019,"offense,touchdowns",457,Brittyn Riddle,Senior,Richfield (UT),(UT),"RB, OLB",25,14,8,,,3,,2.1,12
2019,"offense,touchdowns",458,Dhimani Fenty,Senior,"Rosewood (Goldsboro, NC)","(Goldsboro, NC)","RB, NG",25,25,,,,,,2.1,12
2019,"offense,touchdowns",459,J.P. Martin,Junior,"Cypress Falls (Houston, TX)","(Houston, TX)","WR, DB",25,25,0,0,0,0,0,2.1,12
2019,"offense,touchdowns",460,Justin Abram,Senior,Fairfield (TX),(TX),"QB, DB",25,25,,,,0,0,2.1,12
2019,"offense,touchdowns",461,Christian Sabatini,Junior,"Tulsa NOAH HomeSchool (Tulsa, OK)","(Tulsa, OK)","OLB, RB",25,25,,,,,,2.1,12
2019,"offense,touchdowns",462,Zach Napovanice,Senior,"Mater Dei (Breese, IL)","(Breese, IL)","WR, S",25,19,6,,,,,2.1,12
2019,"offense,touchdowns",464,Xavier Harris,Senior,Oxnard (CA),(CA),"RB, WR",25,24,1,,,,,2.1,12
2019,"offense,touchdowns",465,Brandon Cerna,Senior,Crane (TX),(TX),"WR, QB",25,11,11,,,2,1,2.1,12
2019,"offense,touchdowns",466,Avarius Sparrow,Senior,"Jones (Orlando, FL)","(Orlando, FL)",RB,25,24,1,,,,,2.1,12
2019,"offense,touchdowns",467,Shaykeem Harmon,Senior,Ansonia (CT),(CT),"RB, DB",25,22,2,,,1,,2.1,12
2019,"offense,touchdowns",468,Daniel Jezik,Senior,Coal City (IL),(IL),"OLB, RB",25,25,,,,,,1.9,13
