name,twitter
djimon brooks,https://twitter.com/djimoskie_69
juanyeh thomas,https://twitter.com/STG_Yeh1
tariq carpenter,https://twitter.com/STG_Riq2
tre swilling,https://twitter.com/SwillingTre
tobias oliver,https://twitter.com/tobiasoliver_8
antonneous clayton,https://twitter.com/AC__iX
jeff sims,https://twitter.com/JeffSims_10
marquez ezzard,https://twitter.com/Solid_Quez
adonicas sanders,https://twitter.com/Dono_XII
jordan yates,https://twitter.com/jor_yates
jaylon king,https://twitter.com/JaylonKing2
malachi carter,https://twitter.com/King15Carter
demetrius knight ii,https://twitter.com/iam_the1knight
derrik allen,https://twitter.com/DsmoothAllen
peje harris,https://twitter.com/pjharris07
miles brooks,https://twitter.com/realmilesbrooks
jahmyr gibbs,https://twitter.com/Jahmyr_Gibbs1
zamari walton,https://twitter.com/ZWALT_21
kaleb oliver,https://twitter.com/_K2tha_0
jamious griffin,https://twitter.com/JamiousGriffin
jordan huff,https://twitter.com/jordanhuff03
kenan johnson,https://twitter.com/_kenan_7
charlie thomas,https://twitter.com/L3G3ND_25
jordan mason,https://twitter.com/jpmason27
jalen huff,https://twitter.com/JalenHuffDB
bruce jordan swilling,https://twitter.com/B9MONEY
kyle kennard,https://twitter.com/KyleKennard1
sylvain yondjouen,https://twitter.com/sylvainHYK
jack coco,https://twitter.com/EJCJackCoco
khatavian franks,https://twitter.com/khatavian_4
jared ivey,https://twitter.com/jared_ivey1595
khaya wright,https://twitter.com/Khayawright18
wesley walker,https://twitter.com/weswalkerr_
jordan domineck,https://twitter.com/jdomineck16
cole neuber,https://twitter.com/cole_neuber10
quez jackson,https://twitter.com/killerathlete59
tony amerson,https://twitter.com/tonyamerson_
taylor mccawley,https://twitter.com/taylor_mccawley
steven verdisco,https://twitter.com/StevenVerdisco
jamal camp,https://twitter.com/JamalCamp_60
cade long,https://twitter.com/cadelong65
kenny cooper,https://twitter.com/KcooperGT55
mikey minihan,https://twitter.com/Michael_Minihan
paula vaipulu,https://twitter.com/PTV_70
michael maye,https://twitter.com/Bigmaye61
cade kootsouradis,https://twitter.com/kootsouradis
scotty fulgham,https://twitter.com/scottyfulgham
will milam,https://twitter.com/WillMilam_FB
austin smith,https://twitter.com/Aussiiee10
ryan johnson,https://twitter.com/ryancj96
ryan spiers,https://twitter.com/ryanspiers71
zach quinney,https://twitter.com/zach_quinney
wing green,https://twitter.com/WingGreenJr
dylan leonard,https://twitter.com/Dylanl_2
kalani norris,https://twitter.com/KalaniNorris
dylan deveney,https://twitter.com/DeveneyDylan
ryan king,https://twitter.com/ryanking_rk
billy ward,https://twitter.com/billy_ward16
jude kelley,https://twitter.com/JudeKelley83
ben wilhelm,https://twitter.com/BenWilhelm99
avery boyd,https://twitter.com/ABoyd723
quon griffin,https://twitter.com/Jaquongriffin
t k chimedza,https://twitter.com/__TKC11
mike lockhart,https://twitter.com/the205mike
albany casey,https://twitter.com/albany_oneil
akelo stone,https://twitter.com/bigkelo1
curtis ryans,https://twitter.com/_curtis54
dquan douse,https://twitter.com/quan_61
